GEOID,Total_Population,Median_Household_Income,Pct_White,Pct_Black,Pct_Hispanic,Pct_Poverty,Pct_Bachelors_Plus
060371011101,1500.0,66250.0,54.93,3.07,30.53,14.73,36.31
060371011102,1825.0,91512.0,52.27,3.29,38.47,10.74,18.39
060371011103,827.0,140625.0,71.22,4.84,32.29,8.22,34.14
060371011221,2481.0,127019.0,78.4,0.36,5.97,7.8,35.56
060371011222,1717.0,88077.0,64.18,0.93,15.43,4.37,31.24
060371012201,1304.0,77212.0,59.28,0.0,29.98,26.3,35.33
060371012202,2130.0,69420.0,43.71,0.47,43.24,12.54,29.12
060371012211,1000.0,73971.0,38.1,4.0,36.4,7.1,31.62
060371012212,2931.0,51438.0,49.61,3.75,36.3,16.8,21.27
060371012221,2572.0,45662.0,55.09,0.54,49.53,13.88,19.1
060371013001,1112.0,104297.0,63.76,3.87,11.33,3.06,53.43
060371013002,1065.0,125725.0,74.65,2.44,16.9,8.43,27.7
060371013003,1073.0,114839.0,93.57,0.0,12.58,2.7,41.06
060371013004,960.0,131667.0,72.29,0.0,22.5,18.12,26.04
060371014001,782.0,42188.0,71.99,0.0,13.17,12.53,12.76
060371014002,1414.0,108359.0,67.47,3.25,15.06,4.11,31.11
060371014003,1293.0,97935.0,63.65,0.93,32.79,6.42,25.45
060371021031,2054.0,72656.0,82.08,2.48,4.97,8.96,29.2
060371021041,2755.0,104978.0,73.76,2.14,11.03,6.01,34.2
060371021042,1297.0,115909.0,70.86,0.0,17.58,2.93,65.14
060371021051,475.0,106875.0,42.32,0.0,53.26,5.26,14.78
060371021052,1189.0,92000.0,20.27,1.85,70.9,11.02,24.16
060371021071,2336.0,103786.0,75.81,0.26,18.02,15.43,45.47
060371021072,1259.0,122083.0,75.3,1.11,14.69,11.01,22.59
060371031011,1685.0,135000.0,74.12,1.07,15.37,4.99,36.91
060371031012,1020.0,105543.0,68.04,0.0,32.06,2.55,33.14
060371031021,474.0,58816.0,65.61,0.0,15.61,32.49,22.51
060371031022,453.0,61591.0,84.55,0.0,13.47,7.06,19.64
060371031023,1403.0,83375.0,77.19,0.93,27.23,13.03,15.12
060371031024,1222.0,66477.0,78.89,0.0,16.86,8.67,10.28
060371032011,2462.0,87969.0,49.27,3.78,46.87,17.85,22.3
060371032012,1963.0,109300.0,68.01,2.04,26.44,1.32,30.94
060371032021,1945.0,117338.0,57.07,0.98,20.62,2.47,30.77
060371033001,1679.0,151315.0,79.21,0.95,11.2,9.19,37.27
060371033002,2342.0,135590.0,69.6,3.63,12.98,8.05,34.22
060371034011,2552.0,100893.0,67.24,0.16,12.07,5.45,42.49
060371034021,1051.0,94792.0,57.47,0.0,29.88,11.32,22.58
060371034022,805.0,121094.0,71.8,0.62,15.53,6.37,40.82
060371034024,1488.0,107277.0,54.17,31.59,4.44,8.17,34.6
060371041031,2021.0,103250.0,19.45,14.94,65.31,10.99,22.41
060371041032,2236.0,113750.0,21.87,12.34,76.16,12.71,13.84
060371041051,1906.0,108250.0,15.58,9.34,53.78,10.19,16.25
060371041052,2706.0,37567.0,29.6,2.18,90.61,40.72,19.81
060371041053,1278.0,72845.0,9.7,4.77,94.6,0.0,9.39
060371041081,2008.0,90268.0,16.78,11.16,87.3,22.26,3.55
060371041082,1761.0,70417.0,39.58,6.87,78.48,10.22,16.39
060371041083,1183.0,144375.0,19.02,4.82,83.6,4.82,4.84
060371041241,1605.0,59806.0,41.81,8.47,66.6,10.81,16.25
060371041242,1842.0,107045.0,48.05,15.15,38.76,9.84,29.12
060371041243,643.0,102250.0,67.65,0.0,31.88,1.56,33.55
060371042011,1199.0,126579.0,13.34,0.0,84.9,4.67,17.19
060371042012,1976.0,102443.0,9.46,13.87,86.13,8.7,7.21
060371042013,1150.0,77444.0,18.52,15.83,81.74,21.13,10.91
060371042031,2051.0,67660.0,29.4,0.0,94.39,13.18,16.51
060371042032,2927.0,72738.0,19.37,7.0,91.87,28.32,8.65
060371042041,1493.0,44485.0,36.1,8.1,70.46,18.17,10.94
060371042042,2243.0,84219.0,22.56,1.07,83.82,12.22,14.9
060371043101,1500.0,87202.0,25.13,2.07,91.07,8.96,8.71
060371043102,1582.0,100625.0,9.61,1.52,97.66,20.48,8.46
060371043103,1394.0,131198.0,14.06,0.0,96.13,6.81,8.3
060371043211,991.0,76579.0,18.16,2.62,91.32,8.17,6.77
060371043213,481.0,48967.0,16.22,0.0,98.96,31.19,1.79
060371043221,1277.0,66174.0,34.53,0.16,90.13,8.85,13.82
060371043222,579.0,131667.0,4.15,0.0,92.23,5.29,9.55
060371044011,1947.0,90388.0,21.47,1.49,97.95,21.21,14.34
060371044012,1136.0,61765.0,22.54,0.0,93.22,22.71,8.44
060371044031,1522.0,98350.0,34.69,0.0,97.77,30.03,7.11
060371044032,770.0,105125.0,0.0,0.0,88.44,8.7,13.12
060371044041,1641.0,91100.0,15.78,0.0,96.59,9.93,7.02
060371044042,1733.0,80769.0,28.45,0.0,99.37,18.32,5.71
060371045001,1980.0,67045.0,10.51,0.25,98.94,40.45,10.6
060371045002,1559.0,95337.0,19.82,0.0,95.25,25.59,3.95
060371046101,1916.0,79643.0,11.53,0.0,95.67,13.28,2.54
060371046102,1208.0,101250.0,23.1,0.0,98.59,1.74,5.07
060371046201,1107.0,95096.0,18.52,1.17,97.02,10.35,12.52
060371046202,2159.0,85962.0,29.55,0.0,94.12,24.23,6.82
060371047011,627.0,116023.0,19.14,0.0,96.81,39.19,8.67
060371047012,2320.0,47804.0,26.77,4.87,98.06,32.8,8.19
060371047013,969.0,73973.0,19.3,0.52,100.0,18.78,10.68
060371047031,1327.0,43036.0,24.27,13.64,75.81,25.62,8.24
060371047032,979.0,53750.0,21.96,0.0,88.66,7.05,8.58
060371047041,1721.0,68750.0,25.57,14.18,74.43,18.73,9.22
060371047042,1944.0,81410.0,19.55,1.95,79.22,26.23,17.3
060371047043,997.0,52708.0,22.07,0.0,99.1,26.88,5.31
060371048211,2260.0,81250.0,26.81,0.0,91.77,11.75,9.83
060371048212,1216.0,93365.0,15.71,0.0,96.63,25.52,8.71
060371048221,2199.0,48750.0,17.6,0.45,92.5,27.42,9.63
060371048231,1838.0,98419.0,19.91,7.78,71.76,19.31,29.4
060371048232,1357.0,72056.0,1.62,0.0,97.27,25.94,3.45
060371048241,778.0,84779.0,19.02,0.0,100.0,25.06,21.79
060371048242,1804.0,117596.0,10.37,0.0,97.39,4.27,2.76
060371060101,1736.0,110417.0,16.88,1.04,84.22,2.67,12.38
060371060102,2313.0,156250.0,53.09,0.69,68.31,7.0,26.73
060371060201,1450.0,140995.0,10.62,2.97,67.03,5.04,33.11
060371060202,1121.0,131000.0,55.4,15.34,51.83,24.8,45.83
060371060203,2279.0,101406.0,6.49,0.22,92.63,21.54,18.8
060371061111,2568.0,103882.0,39.14,7.09,67.56,7.71,18.38
060371061112,2139.0,127813.0,45.63,4.3,46.33,1.41,26.78
060371061121,1935.0,107891.0,47.18,0.0,88.84,9.82,23.3
060371061122,1617.0,96852.0,20.1,1.18,81.32,19.79,17.78
060371061123,1483.0,107944.0,39.11,6.81,39.65,14.55,27.68
060371061131,2016.0,117422.0,38.69,3.37,70.78,5.35,26.8
060371061132,1819.0,138182.0,18.58,0.0,67.56,1.43,21.24
060371061141,1663.0,47212.0,47.56,0.54,97.41,40.11,6.97
060371061142,2118.0,68616.0,15.49,0.0,95.09,20.07,12.26
060371061143,3148.0,109615.0,25.92,2.03,67.44,20.3,20.52
060371064031,972.0,136985.0,44.96,0.82,75.31,2.67,18.48
060371064032,1353.0,99250.0,32.22,10.5,75.61,11.6,19.4
060371064033,1535.0,83239.0,20.2,2.61,94.72,10.14,19.61
060371064051,1745.0,91336.0,14.67,8.83,70.66,1.55,28.84
060371064052,1477.0,82704.0,34.53,17.54,68.92,45.63,17.87
060371064053,927.0,105556.0,38.94,1.73,82.52,1.06,21.67
060371064061,3413.0,100653.0,39.55,2.61,62.97,3.72,24.11
060371064062,907.0,103608.0,39.58,0.0,83.68,6.73,21.09
060371064063,1972.0,116282.0,27.84,2.18,75.91,2.33,12.07
060371064071,1258.0,28413.0,38.55,10.25,71.38,23.65,14.17
060371064072,1075.0,38359.0,24.84,1.21,93.95,46.23,6.52
060371064081,3010.0,59375.0,30.23,4.88,88.54,30.37,11.05
060371064082,822.0,52625.0,12.77,0.0,95.62,26.76,1.06
060371065101,1788.0,122747.0,22.32,1.57,57.83,11.74,14.85
060371065102,1851.0,81108.0,42.57,0.0,74.12,24.54,29.91
060371065103,1960.0,143611.0,40.36,4.54,43.01,10.46,47.07
060371065201,2421.0,73750.0,40.07,0.41,89.55,14.0,15.66
060371065202,1560.0,101146.0,39.17,12.56,77.56,9.54,16.51
060371065203,1503.0,167701.0,34.4,0.0,93.21,14.9,14.56
060371066031,1779.0,120000.0,51.38,11.86,18.21,3.6,43.93
060371066032,1902.0,195648.0,51.79,2.68,34.75,7.62,39.1
060371066041,1740.0,65565.0,33.22,3.56,86.26,15.46,17.82
060371066042,1491.0,83836.0,18.24,5.16,84.71,5.43,16.67
060371066043,1118.0,64643.0,33.36,0.0,92.67,16.91,9.83
060371066411,2096.0,118387.0,66.08,2.39,7.92,6.55,47.51
060371066421,1125.0,107083.0,73.87,0.0,13.33,0.81,61.28
060371066422,1270.0,147986.0,75.28,1.81,24.8,1.83,40.31
060371066423,1119.0,142466.0,62.91,0.98,24.04,22.44,42.72
060371066431,2016.0,213224.0,56.25,3.17,12.5,0.99,53.05
060371066432,1176.0,224205.0,62.5,23.47,10.03,6.46,52.03
060371066433,1119.0,174037.0,56.3,0.0,8.76,2.14,46.42
060371066451,1208.0,105417.0,67.38,0.66,23.34,7.7,38.51
060371066452,2464.0,162401.0,68.75,0.0,29.14,3.94,42.15
060371066461,2056.0,130313.0,51.51,5.25,19.07,2.14,39.94
060371066462,1036.0,120938.0,33.88,5.79,39.29,12.52,45.95
060371066481,3938.0,85387.0,32.02,0.0,91.47,9.86,8.27
060371066482,775.0,25882.0,47.23,0.0,92.9,31.74,6.7
060371066491,1489.0,84420.0,18.94,0.0,86.57,2.69,9.76
060371066492,1200.0,111583.0,18.58,2.08,47.58,7.75,27.74
060371070101,1719.0,103487.0,20.24,0.0,98.89,3.91,11.92
060371070102,1278.0,90560.0,49.45,0.63,80.28,5.02,21.66
060371070201,1311.0,108229.0,20.98,2.52,91.3,8.54,17.28
060371070202,896.0,85208.0,20.65,1.45,92.19,8.71,12.06
060371070203,1893.0,60250.0,26.57,0.11,85.53,35.87,10.83
060371070204,821.0,72188.0,39.59,0.97,79.66,4.63,33.02
060371081011,2128.0,151027.0,55.36,1.03,19.13,3.52,48.49
060371081021,1062.0,85956.0,50.19,3.39,6.4,12.05,52.92
060371081022,994.0,161042.0,52.11,2.01,0.91,19.01,66.62
060371081023,1421.0,131662.0,54.33,0.07,20.06,6.56,61.47
060371081031,1365.0,130227.0,58.9,7.18,9.23,12.53,48.51
060371081032,1688.0,192560.0,57.17,1.01,7.76,1.3,58.75
060371081041,1754.0,144167.0,57.7,3.31,6.9,2.85,62.27
060371082021,2532.0,170437.0,41.79,6.48,17.97,1.74,67.21
060371082022,3662.0,197176.0,36.67,4.45,12.53,7.99,61.89
060371082023,4054.0,221919.0,24.07,31.38,3.63,0.0,53.53
060371082031,2084.0,137500.0,41.46,11.71,9.6,7.05,57.06
060371082032,1073.0,172917.0,40.26,10.07,4.57,1.96,70.04
060371082041,1782.0,177283.0,38.89,4.21,6.06,2.81,73.99
060371091001,1077.0,68347.0,46.24,5.2,33.33,9.1,23.04
060371091002,1784.0,87037.0,36.94,3.03,52.35,8.6,14.58
060371092001,1152.0,118269.0,24.39,4.6,27.17,2.0,34.47
060371092002,1056.0,139107.0,38.07,0.28,24.05,5.87,44.28
060371092003,655.0,120585.0,65.04,4.73,14.96,10.99,62.45
060371093001,874.0,115625.0,37.87,0.0,55.72,2.31,17.09
060371093002,1345.0,114341.0,31.82,2.97,46.54,3.42,39.12
060371093003,686.0,165341.0,77.41,3.5,31.2,12.88,30.14
060371094002,1796.0,111193.0,11.8,0.78,83.69,3.95,33.77
060371094003,1315.0,91964.0,26.01,0.0,74.83,7.38,23.85
060371095001,816.0,68207.0,34.68,0.0,97.06,9.31,12.1
060371095002,2299.0,83106.0,18.23,2.35,83.91,12.32,10.17
060371095003,792.0,120938.0,23.36,0.51,90.91,41.02,1.98
060371096011,1296.0,124500.0,21.99,14.35,58.26,8.56,23.25
060371096012,1106.0,151701.0,55.42,0.81,35.71,0.45,13.7
060371096013,967.0,120321.0,16.86,2.59,87.07,0.0,13.98
060371096014,1673.0,89145.0,28.99,0.42,61.75,16.02,12.83
060371096031,1038.0,72000.0,30.06,2.6,63.39,31.41,23.68
060371096032,1205.0,91635.0,20.91,2.66,78.01,3.9,29.81
060371096033,1795.0,81202.0,8.41,0.84,75.71,5.85,12.21
060371096041,863.0,62467.0,25.38,1.62,66.28,6.37,12.82
060371096042,789.0,105438.0,40.3,4.06,59.06,17.49,26.93
060371096043,1069.0,106536.0,25.63,1.96,83.35,9.54,29.89
060371097001,1587.0,156103.0,50.98,0.0,48.2,2.84,28.44
060371097002,1774.0,107500.0,36.13,6.03,37.88,7.57,34.41
060371097003,898.0,125556.0,41.87,0.45,14.14,5.9,38.48
060371098001,1464.0,136681.0,47.81,0.0,46.52,0.68,37.9
060371098002,800.0,75941.0,63.0,6.25,48.75,4.56,29.8
060371098003,1293.0,54024.0,35.96,1.01,54.22,29.0,23.11
060371098004,1068.0,67487.0,49.16,0.0,42.6,4.31,11.79
060371111001,1077.0,108450.0,45.13,1.49,42.06,8.47,20.42
060371111002,1888.0,116307.0,33.47,0.74,51.69,6.62,31.33
060371112011,1001.0,78056.0,47.55,3.9,46.35,15.28,28.22
060371112012,1768.0,180313.0,37.39,0.0,58.09,4.98,44.97
060371112013,506.0,140227.0,65.02,0.79,30.24,5.39,43.8
060371112021,1563.0,126267.0,23.99,0.13,46.77,4.61,23.52
060371112022,1565.0,105982.0,54.7,3.64,21.02,3.76,38.39
060371112023,2614.0,107022.0,43.38,2.3,26.55,14.27,31.11
060371112041,2626.0,233281.0,44.86,1.45,30.81,1.98,56.65
060371112042,2166.0,166250.0,39.84,1.66,17.22,0.0,51.97
060371112043,1110.0,143750.0,50.99,2.88,17.12,6.67,56.15
060371112051,1509.0,156250.0,19.81,3.38,40.23,5.24,60.3
060371112052,879.0,107200.0,36.18,3.87,21.96,23.21,49.25
060371112053,1239.0,79234.0,73.69,0.0,18.48,5.81,24.81
060371112061,1066.0,93611.0,52.06,7.41,32.18,14.35,42.28
060371112062,637.0,136932.0,73.31,0.0,15.86,3.14,55.92
060371112063,787.0,169861.0,49.68,0.0,20.08,0.0,42.44
