time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_cf_1,pm2.5_cf_1_b,sensor_index,latitude,longitude
1686787200,48.0,75.0,1012.18,6.1,6.1,6.1,31533,33.772484,-118.19539
1686790800,50.0,74.0,1012.0,7.2,7.2,7.2,31533,33.772484,-118.19539
1687510800,52.0,68.0,1015.06,5.1,5.1,5.1,31533,33.772484,-118.19539
1681117200,67.0,59.0,1017.3,6.8,6.8,6.4,31533,33.772484,-118.19539
1675137600,55.0,61.0,1014.81,4.3,4.3,4.0,31533,33.772484,-118.19539
1678456800,58.0,60.0,1018.41,0.9,0.9,0.8,31533,33.772484,-118.19539
1678442400,49.0,64.0,1018.64,1.2,1.2,1.1,31533,33.772484,-118.19539
1679014800,48.0,65.0,1016.66,3.4,3.4,3.2,31533,33.772484,-118.19539
1679072400,42.0,72.0,1017.77,25.4,25.5,25.0,31533,33.772484,-118.19539
1682229600,55.0,69.0,1008.47,6.2,6.2,6.1,31533,33.772484,-118.19539
1682211600,25.0,83.0,1007.79,4.6,4.6,4.6,31533,33.772484,-118.19539
1682269200,59.0,67.0,1010.49,11.9,11.9,11.9,31533,33.772484,-118.19539
1682272800,57.0,68.0,1010.38,11.4,11.4,11.3,31533,33.772484,-118.19539
1682280000,53.0,71.0,1010.12,8.3,8.3,8.2,31533,33.772484,-118.19539
1684911600,58.0,67.0,1013.56,5.4,5.4,5.4,31533,33.772484,-118.19539
1684908000,58.0,66.0,1013.8,6.5,6.5,6.4,31533,33.772484,-118.19539
1684886400,53.0,70.0,1013.21,8.9,9.1,9.1,31533,33.772484,-118.19539
1687305600,37.0,80.0,1014.38,4.4,4.4,4.3,31533,33.772484,-118.19539
1687312800,38.0,78.0,1014.11,3.2,3.2,3.1,31533,33.772484,-118.19539
1687334400,50.0,71.0,1014.78,5.0,5.0,4.9,31533,33.772484,-118.19539
1687341600,54.0,70.0,1014.17,5.7,5.7,5.6,31533,33.772484,-118.19539
1674244800,37.0,65.0,1022.1,1.7,1.7,1.6,31533,33.772484,-118.19539
1674212400,59.0,57.0,1019.52,22.1,22.1,22.1,31533,33.772484,-118.19539
1674219600,61.0,55.0,1020.14,13.7,13.7,13.9,31533,33.772484,-118.19539
1677488400,55.0,56.0,1021.73,11.6,11.6,11.6,31533,33.772484,-118.19539
1686196800,51.0,71.0,1015.21,1.1,1.1,1.1,31533,33.772484,-118.19539
1686247200,47.0,73.0,1016.92,2.9,2.9,3.0,31533,33.772484,-118.19539
1686222000,59.0,67.0,1015.04,2.7,2.7,2.8,31533,33.772484,-118.19539
1686250800,46.0,73.0,1017.03,3.4,3.4,3.4,31533,33.772484,-118.19539
1681423200,58.0,63.0,1010.28,6.0,6.0,5.5,31533,33.772484,-118.19539
1683745200,43.0,72.0,1017.28,1.6,1.6,1.7,31533,33.772484,-118.19539
1677722400,27.0,58.0,1009.82,0.3,0.3,0.2,31533,33.772484,-118.19539
1677729600,29.0,57.0,1011.87,0.4,0.4,0.3,31533,33.772484,-118.19539
1674792000,25.0,67.0,1025.01,11.5,11.5,11.0,31533,33.772484,-118.19539
1679392800,65.0,59.0,1009.4,0.7,0.7,0.6,31533,33.772484,-118.19539
1679414400,80.0,59.0,1004.99,1.4,1.4,1.2,31533,33.772484,-118.19539
1673830800,59.0,64.0,1010.13,3.5,3.5,3.3,31533,33.772484,-118.19539
1684062000,68.0,65.0,1011.56,10.0,10.0,10.0,31533,33.772484,-118.19539
1684047600,67.0,65.0,1011.88,16.0,16.0,16.1,31533,33.772484,-118.19539
1680188400,52.0,62.0,1013.52,2.9,2.9,2.7,31533,33.772484,-118.19539
1680138000,38.0,65.0,1012.38,1.2,1.2,1.1,31533,33.772484,-118.19539
1680202800,43.0,63.0,1015.12,0.5,0.5,0.4,31533,33.772484,-118.19539
1680141600,42.0,63.0,1012.19,1.5,1.5,1.3,31533,33.772484,-118.19539
1683410400,35.0,74.0,1018.13,0.5,0.5,0.5,31533,33.772484,-118.19539
1683342000,46.0,68.0,1018.1,0.4,0.4,0.4,31533,33.772484,-118.19539
1676725200,29.0,56.0,1015.16,10.4,10.4,10.4,31533,33.772484,-118.19539
1676750400,20.0,69.0,1015.88,6.7,6.7,6.5,31533,33.772484,-118.19539
1674529200,30.0,64.0,1018.45,3.3,3.3,3.2,31533,33.772484,-118.19539
1674525600,30.0,65.0,1017.77,2.6,2.6,2.5,31533,33.772484,-118.19539
1674385200,47.0,55.0,1020.29,39.8,44.7,44.7,31533,33.772484,-118.19539
